project_name,lines_code,num_imports,imports,lines_comments,num_comments_words,num_functions,num_classes,num_tests,num_asserts,num_logic,num_loops,project_quarter
WI21_B00_021,89,9,"['random', 'classes', 'time', 'IPython.display', 'random', 'string', 'operator', 'sys', 'my_module.functions']",53,272,9,2,3,7,3,5,WI21
SP21_C00_012,93,3,"['random', 'IPython.display', 'IPython.display']",27,241,5,0,5,10,5,2,SP21
SP21_C00_085,124,11,"['sys', 'my_module.functions', 'modules', 'modules', 'numpy', 'pandas', 'math', 'numpy', 'pandas', 'math', 'functions']",134,521,16,1,5,13,6,4,SP21
SP21_C00_071,110,1,['random'],2,12,8,1,2,12,3,10,SP21
SP21_C00_076,140,5,"['string', 'random', 'nltk', 'sys', 'my_module.functions']",196,1006,15,0,9,18,18,10,SP21
SP21_C00_082,21,2,"['sys', 'my_module.functions']",9,55,3,1,2,2,2,1,SP21
SP21_C00_049,43,3,"['random', 'sys', 'my_module.functions']",70,511,4,1,3,7,2,1,SP21
SP21_C00_040,37,2,"['pandas', 'sys']",39,211,3,0,6,18,0,0,SP21
SP21_C00_047,91,4,"['TestCodeScript', 'random', 'random', 'random']",144,642,13,0,0,0,6,0,SP21
SP21_C00_078,51,2,"['sys', 'my_module.functions']",70,485,5,0,3,9,6,0,SP21
WI21_B00_020,112,0,[],91,382,11,2,9,21,3,0,WI21
SP21_C00_013,147,4,"['time', 'random', 'sys', 'my_module.functions']",36,291,5,0,5,8,4,0,SP21
WI21_B00_018,80,1,['numpy'],82,521,6,0,3,9,10,9,WI21
SP21_C00_014,47,2,"['string', 'random']",70,280,6,0,5,21,1,1,SP21
WI21_B00_011,88,2,"['datetime', 'pandas']",155,860,7,0,4,14,9,0,WI21
SP21_C00_022,49,2,"['sys', 'my_module.functions']",22,141,3,0,3,6,2,0,SP21
SP21_C00_025,63,7,"['numpy', 'pandas', 'matplotlib.pyplot', 'matplotlib.dates', 'datetime', 'sys', 'my_module.functions']",89,429,5,0,5,3,1,0,SP21
WI21_B00_016,397,2,"['sys', 'functions_Copy1_Copy1']",28,139,33,0,2,2,82,33,WI21
SP21_C00_007,201,3,"['random', 'sys', 'my_module.functions']",53,284,4,0,4,10,3,2,SP21
SP21_C00_038,83,0,[],168,1175,5,0,3,3,29,3,SP21
WI21_B00_005,46,2,"['sys', 'my_module.functions']",18,167,4,1,3,12,1,0,WI21
SP21_C00_036,21,2,"['sys', 'my_module.functions']",23,225,3,1,2,2,2,1,SP21
SP21_C00_009,29,2,"['sys', 'my_module.functions']",54,277,3,0,3,0,0,4,SP21
SP21_C00_031,55,7,"['pandas', 'pandas', 'matplotlib', 'seaborn', 'analysis', 'sys', 'my_module.functions']",19,154,8,0,2,2,1,0,SP21
WI21_B00_002,110,4,"['sys', 'pandas', 'numpy', 'my_module.functions']",52,299,3,0,3,18,9,3,WI21
SP21_C00_091,141,2,"['math', 'time']",186,1171,12,0,5,15,8,0,SP21
SP21_C00_065,187,13,"['sys', 'game_functions', 'csv', 'random', 'script_variables', 'choose_film', 'csv', 'script_variables', 'read_script', 'choose_film', 'csv', 'random', 'script_variables']",160,785,10,2,8,10,11,3,SP21
SP21_C00_062,44,12,"['urllib.parse', 'urllib.request', 'astropy', 'astropy.io', 'astropy.coordinates', 'astropy.utils.data', 'IPython.display', 'astropy.coordinates', 'pandas', 'numpy', 'astropy.visualization', 'matplotlib.pyplot']",56,238,3,0,3,3,0,0,SP21
SP21_C00_054,56,2,"['sys', 'my_module.functions']",33,179,4,1,3,8,2,0,SP21
SP21_C00_053,86,3,"['time', 'sys', 'my_module.functions']",68,324,5,0,5,5,14,2,SP21
SP21_C00_030,30,3,"['time', 'sys', 'my_module.functions']",41,268,3,0,3,4,2,2,SP21
WI21_B00_003,49,8,"['datetime', 'numpy', 'pandas', 'matplotlib.pyplot', 'plotly.graph_objects', 'plotly.express', 'sys', 'my_module.functions']",57,302,4,0,4,7,2,2,WI21
WI21_B00_004,63,1,['string'],71,298,8,0,3,9,12,5,WI21
SP21_C00_037,93,2,"['sys', 'my_module.functions']",11,88,4,1,3,3,3,0,SP21
SP21_C00_008,67,2,"['datetime', 'time']",45,223,7,1,0,0,5,3,SP21
SP21_C00_001,46,4,"['time', 'threading', 'sys', 'my_module.functions']",61,353,6,2,3,13,4,2,SP21
SP21_C00_006,35,4,"['matplotlib.pyplot', 'matplotlib.pyplot', 'sys', 'my_module.functions']",39,244,4,1,4,5,0,0,SP21
SP21_C00_039,58,2,"['sys', 'my_module.functions']",31,294,3,0,2,3,1,4,SP21
SP21_C00_052,61,4,"['numpy', 'pandas', 'sys', 'my_module.functions']",112,729,6,0,6,23,4,3,SP21
SP21_C00_055,14,2,"['sys', 'my_module.functions']",9,55,3,1,2,2,0,0,SP21
SP21_C00_063,148,4,"['time', 'random', 'time', 'random']",142,1035,10,0,5,15,14,0,SP21
SP21_C00_064,70,1,['math'],97,448,6,0,4,9,7,0,SP21
SP21_C00_090,80,6,"['random', 'pandas', 'os', 'time', 'sys', 'my_module.functions']",73,373,7,2,3,3,3,1,SP21
WI21_A00_010,210,2,"['random', 'IPython.display']",12,462,9,1,4,44,8,0,WI21
WI21_A00_017,53,2,"['random', 'nltk']",77,312,7,1,3,7,8,0,WI21
WI21_A00_028,151,7,"['random', 'sys', 'random', 'time', 'my_module.player', 'my_module.team', 'my_module.game']",30,309,8,3,3,8,4,10,WI21
